Date,SiteID,Adjacency,ThawDep_cm,Beyond_probe,Comments
9/9/2021,APEX1,NMR borehole,76,,
9/9/2021,APEX1,NMR borehole,74,,
9/9/2021,APEX1,NMR borehole,81,,
9/9/2021,APEX1,NMR borehole,77,,
9/9/2021,APEX1,Seismometer,67,,
9/9/2021,APEX1,Seismometer,78,,
9/9/2021,APEX1,Seismometer,73,,
9/9/2021,APEX1,Seismometer,74,,
9/9/2021,APEX2,NMR borehole,91,,
9/9/2021,APEX2,NMR borehole,89,,
9/9/2021,APEX2,NMR borehole,75,,
9/9/2021,APEX2,NMR borehole,86,,
9/9/2021,APEX2,Seismometer,77,,
9/9/2021,APEX2,Seismometer,75,,
9/9/2021,APEX2,Seismometer,101,,
9/9/2021,APEX2,Seismometer,74,,
9/9/2021,APEX3,NMR borehole,72,,
9/9/2021,APEX3,NMR borehole,75,,
9/9/2021,APEX3,NMR borehole,67,,
9/9/2021,APEX3,NMR borehole,65,,
9/9/2021,APEX3,Seismometer,73,,
9/9/2021,APEX3,Seismometer,62,,
9/9/2021,APEX3,Seismometer,65,,
9/9/2021,APEX3,Seismometer,72,,
9/9/2021,APEX4,NMR borehole,71,,
9/9/2021,APEX4,NMR borehole,63,,
9/9/2021,APEX4,NMR borehole,70,,
9/9/2021,APEX4,NMR borehole,66,,
9/9/2021,APEX4,Seismometer,94,,
9/9/2021,APEX4,Seismometer,92,,
9/9/2021,APEX4,Seismometer,60,,
9/9/2021,APEX4,Seismometer,69,,
9/9/2021,APEX5,Seismometer,132,y,
9/9/2021,APEX5,Seismometer,98,,
9/9/2021,APEX5,Seismometer,91,,
9/9/2021,APEX5,Seismometer,132,y,
9/9/2021,APEX6,NMR borehole,52,,
9/9/2021,APEX6,NMR borehole,60,,
9/9/2021,APEX6,NMR borehole,69,,
9/9/2021,APEX6,NMR borehole,59,,
9/9/2021,APEX6,Seismometer,67,,
9/9/2021,APEX6,Seismometer,76,,
9/9/2021,APEX6,Seismometer,74,,
9/9/2021,APEX6,Seismometer,67,,
9/9/2021,APEX7,NMR borehole,66,,
9/9/2021,APEX7,NMR borehole,70,,
9/9/2021,APEX7,NMR borehole,60,,
9/9/2021,APEX7,NMR borehole,62,,
9/9/2021,APEX7,Seismometer,71,,
9/9/2021,APEX7,Seismometer,61,,
9/9/2021,APEX7,Seismometer,63,,
9/9/2021,APEX7,Seismometer,65,,
9/9/2021,APEX8,Seismometer,54,,
9/9/2021,APEX8,Seismometer,46,,
9/9/2021,APEX8,Seismometer,54,,
9/9/2021,APEX8,Seismometer,51,,
9/9/2021,APEX9,NMR borehole,132,y,
9/9/2021,APEX9,NMR borehole,132,y,
9/9/2021,APEX9,NMR borehole,132,y,
9/9/2021,APEX9,NMR borehole,132,y,
9/9/2021,APEX9,Seismometer,50,,
9/9/2021,APEX9,Seismometer,58,,
9/9/2021,APEX9,Seismometer,72,,
9/9/2021,APEX9,Seismometer,132,y,
9/9/2021,BZFP,NMR borehole,40,,
9/9/2021,BZFP,NMR borehole,43,,
9/9/2021,BZFP,NMR borehole,50,,
9/9/2021,BZFP,NMR borehole,50,,
9/9/2021,BZFM,NMR borehole,52,,
9/9/2021,BZFM,NMR borehole,54,,
9/9/2021,BZFM,NMR borehole,61,,
9/9/2021,BZFM,NMR borehole,49,,
9/9/2021,BZYT,NMR borehole,132,y,
9/9/2021,BZYT,NMR borehole,132,y,
9/9/2021,BZYT,NMR borehole,84,,
9/9/2021,BZYT,NMR borehole,82,,
10/13/2021,APEX1,Seismometer,78,,
10/13/2021,APEX1,Seismometer,74,,
10/13/2021,APEX1,Seismometer,74,,
10/13/2021,APEX1,Seismometer,71,,
10/13/2021,APEX1,NMR borehole,81,,
10/13/2021,APEX1,NMR borehole,83,,
10/13/2021,APEX1,NMR borehole,82,,
10/13/2021,APEX2,Seismometer,85,,
10/13/2021,APEX2,Seismometer,89,,
10/13/2021,APEX2,Seismometer,96,,
10/13/2021,APEX2,Seismometer,84,,
10/13/2021,APEX2,NMR borehole,91,,
10/13/2021,APEX2,NMR borehole,87,,
10/13/2021,APEX2,NMR borehole,86,,
10/13/2021,APEX2,NMR borehole,90,,
10/13/2021,APEX3,Seismometer,65,,
10/13/2021,APEX3,Seismometer,69,,
10/13/2021,APEX3,Seismometer,66,,
10/13/2021,APEX3,Seismometer,63,,
10/13/2021,APEX3,NMR borehole,74,,
10/13/2021,APEX3,NMR borehole,72,,
10/13/2021,APEX3,NMR borehole,72,,
10/13/2021,APEX3,NMR borehole,79,,
10/13/2021,APEX4,Seismometer,75,,
10/13/2021,APEX4,Seismometer,79,,
10/13/2021,APEX4,Seismometer,70,,
10/13/2021,APEX4,Seismometer,66,,
10/13/2021,APEX4,NMR borehole,94,,
10/13/2021,APEX4,NMR borehole,96,,
10/13/2021,APEX4,NMR borehole,90,,
10/13/2021,APEX5,Seismometer,118,,
10/13/2021,APEX5,Seismometer,124,,
10/13/2021,APEX5,Seismometer,112,,
10/13/2021,APEX5,Seismometer,101,,
10/13/2021,APEX6,Seismometer,77,,
10/13/2021,APEX6,Seismometer,66,,
10/13/2021,APEX6,Seismometer,69,,
10/13/2021,APEX6,Seismometer,76,,
10/13/2021,APEX6,NMR borehole,70,,
10/13/2021,APEX6,NMR borehole,60,,
10/13/2021,APEX6,NMR borehole,60,,
10/13/2021,APEX6,NMR borehole,68,,
10/13/2021,APEX7,Seismometer,64,,
10/13/2021,APEX7,Seismometer,66,,
10/13/2021,APEX7,Seismometer,65,,
10/13/2021,APEX7,Seismometer,70,,
10/13/2021,APEX7,NMR borehole,60,,
10/13/2021,APEX7,NMR borehole,65,,
10/13/2021,APEX7,NMR borehole,69,,
10/13/2021,APEX7,NMR borehole,65,,
10/13/2021,APEX8,Seismometer,125,y,
10/13/2021,APEX8,Seismometer,125,y,
10/13/2021,APEX8,Seismometer,75,,
10/13/2021,APEX8,Seismometer,69,,
10/13/2021,APEX9,Seismometer,53,,
10/13/2021,APEX9,Seismometer,54,,
10/13/2021,APEX9,Seismometer,52,,
10/13/2021,APEX9,Seismometer,51,,
10/13/2021,APEX9,NMR borehole,125,y,
10/13/2021,APEX9,NMR borehole,106,,
10/13/2021,APEX9,NMR borehole,95,,
10/13/2021,APEX9,NMR borehole,86,,
10/13/2021,BZFP,NMR borehole,50,,
10/13/2021,BZFP,NMR borehole,54,,
10/13/2021,BZFP,NMR borehole,48,,
10/13/2021,BZFP,NMR borehole,42,,
10/13/2021,BZFM,NMR borehole,52,,
10/13/2021,BZFM,NMR borehole,48,,
10/13/2021,BZFM,NMR borehole,54,,
10/13/2021,BZFM,NMR borehole,44,,
10/13/2021,BZYT,NMR borehole,103,,
10/13/2021,BZYT,NMR borehole,78,,
10/13/2021,BZYT,NMR borehole,88,,
10/13/2021,BZYT,NMR borehole,118,,
9/23/2022,APEX1,Seismometer,74,,
9/23/2022,APEX1,Seismometer,71,,
9/23/2022,APEX1,Seismometer,74,,
9/23/2022,APEX1,Seismometer,74,,
9/23/2022,APEX1,NMR borehole,78,,
9/23/2022,APEX1,NMR borehole,79,,
9/23/2022,APEX1,NMR borehole,79,,
9/23/2022,APEX1,NMR borehole,75,,
9/23/2022,APEX2,Seismometer,88,,
9/23/2022,APEX2,Seismometer,92,,
9/23/2022,APEX2,Seismometer,76,,
9/23/2022,APEX2,Seismometer,83,,
9/23/2022,APEX2,NMR borehole,88,,
9/23/2022,APEX2,NMR borehole,78,,
9/23/2022,APEX2,NMR borehole,78,,
9/23/2022,APEX2,NMR borehole,90,,
9/23/2022,APEX3,Seismometer,55,,
9/23/2022,APEX3,Seismometer,62,,
9/23/2022,APEX3,Seismometer,61,,
9/23/2022,APEX3,Seismometer,59,,
9/23/2022,APEX3,NMR borehole,72,,
9/23/2022,APEX3,NMR borehole,77,,
9/23/2022,APEX3,NMR borehole,52,,
9/23/2022,APEX3,NMR borehole,70,,
9/23/2022,APEX4,Seismometer,51,,new location as of Feb 2022
9/23/2022,APEX4,Seismometer,50,,new location as of Feb 2022
9/23/2022,APEX4,Seismometer,59,,new location as of Feb 2022
9/23/2022,APEX4,Seismometer,60,,new location as of Feb 2022
9/23/2022,APEX5,Seismometer,107,,
9/23/2022,APEX5,Seismometer,105,,
9/23/2022,APEX5,Seismometer,107,,
9/23/2022,APEX5,Seismometer,115,,
9/23/2022,APEX6,Seismometer,76,,
9/23/2022,APEX6,Seismometer,63,,
9/23/2022,APEX6,Seismometer,100,,
9/23/2022,APEX6,Seismometer,73,,
9/23/2022,APEX6,NMR borehole,56,,
9/23/2022,APEX6,NMR borehole,83,,
9/23/2022,APEX6,NMR borehole,69,,
9/23/2022,APEX6,NMR borehole,62,,
9/23/2022,APEX7,Seismometer,64,,
9/23/2022,APEX7,Seismometer,69,,
9/23/2022,APEX7,Seismometer,60,,
9/23/2022,APEX7,Seismometer,67,,
9/23/2022,APEX7,NMR borehole,60,,
9/23/2022,APEX7,NMR borehole,61,,
9/23/2022,APEX7,NMR borehole,70,,
9/23/2022,APEX7,NMR borehole,63,,
9/23/2022,APEX8,Seismometer,104,,
9/23/2022,APEX8,Seismometer,117,,
9/23/2022,APEX8,Seismometer,78,,
9/23/2022,APEX8,Seismometer,99,,
9/23/2022,APEX9,Seismometer,51,,
9/23/2022,APEX9,Seismometer,48,,
9/23/2022,APEX9,Seismometer,49,,
9/23/2022,APEX9,Seismometer,49,,
9/23/2022,APEX9,NMR borehole,105,,
9/23/2022,APEX9,NMR borehole,99,,
9/23/2022,APEX9,NMR borehole,107,,
9/23/2022,APEX9,NMR borehole,132,y,
